chr	pos	N_20-N4	N_5-N1	N_5-N2	N_20-N2	N_5-N3	N_20-N1	S_20-S1	S_20-S3	S_20-S4	S_5-S3	S_5-S4	S_5-S2	S_20-S2	S_5-S1
KN811289.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811289.1:1:6115441:1 REF	4296839	0.89	0.34	0.86	0.86	0.93	0.92	0.95	0.90	0.94	0.72	0.88	0.95	0.75	0.98
KN811289.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811289.1:1:6115441:1 REF	4296859	0.98	0.95	0.94	0.93	0.93	0.95	0.92	0.90	0.93	0.80	0.95	0.95	0.60	0.93
KN811289.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811289.1:1:6115441:1 REF	4296869	0.91	0.90	0.67	0.76	1.00	0.78	0.78	0.60	0.52	0.76	0.73	0.95	0.30	0.90
KN811291.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811291.1:1:3134460:1 REF	1225248	0.98	0.81	0.95	0.70	0.88	1.00	0.82	0.48	0.84	0.77	0.96	0.83	0.56	1.00
KN811291.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811291.1:1:3134460:1 REF	1225254	0.80	0.68	0.89	0.70	0.88	1.00	0.91	0.56	0.77	0.87	1.00	0.92	0.56	1.00
KN811298.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811298.1:1:2984365:1 REF	1744169	0.22	0.48	0.46	0.21	0.70	0.15	0.56	0.51	0.70	0.55	0.71	0.60	0.20	0.34
KN811299.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811299.1:1:2972310:1 REF	2418889	0.90	1.00	0.97	0.95	0.98	1.00	0.96	0.10	0.92	0.84	1.00	0.38	0.19	0.74
KN811299.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811299.1:1:2972310:1 REF	2418895	0.90	0.47	0.94	0.95	0.33	1.00	0.84	0.78	0.90	0.89	0.91	0.38	0.19	0.96
KN811299.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811299.1:1:2972310:1 REF	2418900	0.90	0.93	0.83	1.00	0.31	1.00	0.84	0.74	0.96	0.95	0.64	0.31	0.19	0.96
KN811299.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811299.1:1:2972310:1 REF	2418902	0.85	0.96	0.94	0.29	0.29	1.00	0.84	0.74	0.75	1.00	0.73	0.36	0.19	0.87
KN811303.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811303.1:1:2811666:1 REF	273169	0.83	0.71	0.91	0.73	0.89	1.00	0.85	0.90	0.87	0.79	0.82	0.90	1.00	0.80
KN811303.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811303.1:1:2811666:1 REF	273171	0.85	0.77	0.97	1.00	0.97	1.00	0.94	0.92	0.95	0.85	0.90	0.90	1.00	0.91
KN811303.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811303.1:1:2811666:1 REF	273176	0.96	0.91	0.94	0.73	0.97	0.78	0.95	0.94	0.98	0.94	0.92	0.80	1.00	0.91
KN811303.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811303.1:1:2811666:1 REF	273182	0.94	0.95	1.00	1.00	0.98	1.00	0.93	0.94	0.88	0.88	0.97	0.90	1.00	0.91
KN811304.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811304.1:1:2917921:1 REF	2709045	0.86	0.93	0.70	0.55	0.91	0.75	0.92	0.85	0.77	0.85	0.97	0.80	0.52	0.91
KN811309.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811309.1:1:2934820:1 REF	230561	0.97	0.97	0.97	0.91	0.97	0.98	0.96	1.00	0.99	0.98	0.93	0.96	0.96	0.99
KN811321.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811321.1:1:2546084:1 REF	1842659	0.97	0.85	0.85	0.20	0.83	0.73	0.94	0.81	0.97	0.89	0.93	0.92	0.50	1.00
KN811336.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811336.1:1:2282238:1 REF	182575	0.59	0.76	0.81	0.73	0.56	0.52	0.71	0.63	0.68	0.41	0.66	0.49	0.50	0.62
KN811336.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811336.1:1:2282238:1 REF	182580	0.57	0.91	0.75	0.77	0.51	0.52	0.61	0.57	0.65	0.54	0.65	0.56	0.50	0.61
KN811336.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811336.1:1:2282238:1 REF	182586	0.44	0.78	0.80	0.77	0.49	0.62	0.63	0.57	0.72	0.46	0.70	0.52	0.88	0.61
KN811336.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811336.1:1:2282238:1 REF	182747	0.73	0.74	0.92	0.78	0.72	0.40	0.80	0.63	0.68	0.65	0.72	0.81	0.55	0.59
KN811340.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811340.1:1:5018176:1 REF	2022128	0.84	0.94	0.98	0.89	0.91	0.75	0.90	0.83	0.85	0.83	0.90	0.87	0.79	0.88
KN811340.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811340.1:1:5018176:1 REF	2022131	0.90	0.89	0.94	0.89	0.93	0.92	0.90	0.86	0.93	0.86	0.85	0.90	0.86	0.81
KN811340.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811340.1:1:5018176:1 REF	2057989	0.43	0.88	0.35	1.00	0.94	0.79	0.90	0.92	0.90	0.67	0.91	0.98	0.74	0.80
KN811340.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811340.1:1:5018176:1 REF	2057991	0.82	0.81	0.91	1.00	0.94	0.84	0.80	0.98	1.00	0.71	0.78	0.98	0.79	0.93
KN811340.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811340.1:1:5018176:1 REF	2057996	0.54	1.00	0.96	1.00	0.53	0.79	0.94	0.90	0.94	0.68	0.95	0.98	0.68	0.79
KN811340.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811340.1:1:5018176:1 REF	2058002	0.48	1.00	0.98	1.00	0.90	0.84	0.98	0.98	0.94	0.71	0.99	0.91	0.72	0.95
KN811341.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811341.1:1:2319825:1 REF	1855800	0.74	0.85	0.76	0.97	0.97	1.00	0.97	0.76	0.93	0.96	0.66	0.93	0.89	0.90
KN811342.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811342.1:1:2276289:1 REF	1406663	0.68	0.88	0.88	0.90	0.97	1.00	0.93	0.51	0.86	0.79	0.43	0.82	1.00	0.90
KN811342.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811342.1:1:2276289:1 REF	1406684	0.42	0.76	0.82	0.60	0.63	0.75	0.88	0.89	0.82	0.92	0.93	0.82	0.91	1.00
KN811345.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811345.1:1:2151516:1 REF	1963215	0.40	0.53	0.39	0.29	0.50	0.10	0.25	0.25	0.57	0.33	0.56	0.59	0.29	0.13
KN811347.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811347.1:1:2266372:1 REF	1024762	0.82	0.93	0.93	0.93	0.97	0.96	0.93	0.94	0.97	0.95	0.90	0.90	0.91	0.97
KN811354.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811354.1:1:2126579:1 REF	1361932	0.55	0.65	0.62	0.73	0.68	0.71	0.67	0.68	0.62	0.65	0.71	0.60	0.20	0.62
KN811354.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811354.1:1:2126579:1 REF	1361939	0.58	0.73	0.79	0.73	0.76	0.59	0.77	0.76	0.62	0.73	0.71	0.60	0.50	0.83
KN811355.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811355.1:1:2185618:1 REF	1041468	0.92	0.94	0.97	0.85	0.81	0.85	0.94	0.95	0.92	0.96	0.96	0.91	0.63	0.86
KN811356.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811356.1:1:2072284:1 REF	1673857	0.62	0.74	0.76	0.82	0.44	0.85	0.86	0.60	0.77	0.64	0.72	0.56	0.33	0.67
KN811366.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811366.1:1:2012531:1 REF	1182416	0.64	0.57	0.77	0.71	0.79	0.87	0.83	0.65	0.73	0.65	0.66	0.59	0.33	0.71
KN811395.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811395.1:1:1805758:1 REF	1619247	0.88	0.95	0.81	0.89	0.97	0.94	0.38	0.44	0.28	0.93	0.80	0.93	0.92	1.00
KN811406.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811406.1:1:4652060:1 REF	1814525	0.93	0.89	0.95	0.76	0.82	0.60	0.90	0.89	0.86	0.85	0.92	0.96	1.00	0.84
KN811409.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811409.1:1:1773268:1 REF	1591922	0.47	0.81	0.75	0.78	0.58	0.59	0.66	0.57	0.72	0.46	0.76	0.47	0.90	0.65
KN811418.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811418.1:1:1629657:1 REF	352787	0.69	0.84	0.70	0.93	0.67	0.96	0.68	0.64	0.71	0.87	0.56	0.89	1.00	0.88
KN811418.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811418.1:1:1629657:1 REF	352795	0.75	0.93	0.71	0.96	0.87	0.96	0.84	0.66	0.80	0.83	0.74	0.80	1.00	0.94
KN811423.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811423.1:1:1524554:1 REF	1436691	0.52	0.79	0.32	0.50	0.45	0.25	0.76	0.44	0.59	1.00	0.85	0.47	0.39	0.55
KN811423.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811423.1:1:1524554:1 REF	1436693	0.13	0.33	0.19	0.16	0.47	0.25	0.50	0.33	0.45	0.79	0.76	0.43	0.39	0.67
KN811426.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811426.1:1:1563649:1 REF	1160561	0.92	0.77	0.89	0.38	0.60	1.00	0.72	0.69	0.76	0.80	0.78	0.78	0.71	0.74
KN811430.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811430.1:1:1503563:1 REF	1282421	0.81	0.95	0.77	0.83	0.90	0.52	0.90	0.92	0.83	0.84	0.91	0.83	0.61	0.65
KN811443.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811443.1:1:1366826:1 REF	280888	0.97	1.00	1.00	0.94	1.00	0.66	0.98	0.97	0.98	0.97	1.00	0.87	0.88	1.00
KN811450.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811450.1:1:1556078:1 REF	1517515	0.43	0.62	0.33	0.47	0.24	0.80	0.45	0.56	0.48	0.46	0.43	0.78	0.94	0.58
KN811454.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811454.1:1:1505902:1 REF	506275	1.00	0.81	1.00	0.84	1.00	1.00	0.97	1.00	1.00	1.00	1.00	1.00	0.96	1.00
KN811463.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811463.1:1:1334877:1 REF	658089	0.29	0.35	0.50	0.27	0.85	0.24	0.50	0.17	0.29	0.32	0.26	0.37	0.57	0.57
KN811468.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811468.1:1:1275134:1 REF	601010	0.84	0.94	0.97	0.89	0.91	0.75	0.90	0.82	0.85	0.83	0.89	0.87	0.79	0.88
KN811468.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811468.1:1:1275134:1 REF	601013	0.90	0.89	0.90	0.89	0.93	0.92	0.90	0.86	0.93	0.86	0.85	0.90	0.86	0.81
KN811470.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811470.1:1:1281839:1 REF	561003	0.77	0.77	0.67	0.73	0.73	0.46	0.95	0.93	0.78	0.82	0.91	0.95	0.67	0.92
KN811470.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811470.1:1:1281839:1 REF	561631	0.97	0.98	0.78	0.64	0.94	0.91	0.94	0.94	0.90	0.95	0.95	0.84	1.00	1.00
KN811478.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811478.1:1:1300797:1 REF	768562	0.49	0.58	0.51	0.15	0.52	0.53	0.54	0.71	0.54	0.55	0.32	0.50	0.32	0.58
KN811482.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811482.1:1:1241205:1 REF	1140584	0.88	0.59	0.97	0.80	0.43	0.94	0.94	0.95	0.94	0.99	0.96	0.97	0.64	0.79
KN811485.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811485.1:1:1225691:1 REF	159560	1.00	1.00	0.83	1.00	0.62	1.00	0.70	1.00	0.97	1.00	1.00	1.00	1.00	1.00
KN811485.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811485.1:1:1225691:1 REF	159566	1.00	0.17	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00
KN811485.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811485.1:1:1225691:1 REF	159573	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00
KN811526.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811526.1:1:1069047:1 REF	520550	0.89	0.69	0.33	0.98	0.55	0.89	0.31	0.71	0.15	0.35	0.85	0.69	0.85	0.30
KN811526.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811526.1:1:1069047:1 REF	521782	0.54	0.20	0.60	0.81	0.46	0.52	0.33	0.30	0.50	0.61	0.74	0.17	0.38	0.38
KN811541.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811541.1:1:1118871:1 REF	221257	0.86	0.94	0.93	1.00	0.81	0.98	0.91	0.81	0.94	1.00	0.64	0.94	0.42	0.88
KN811547.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811547.1:1:4072169:1 REF	3877620	0.21	0.41	0.49	0.44	0.82	0.15	0.58	0.43	0.67	0.61	0.66	0.64	0.21	0.33
KN811558.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811558.1:1:1043175:1 REF	68158	0.61	0.67	0.71	0.76	0.60	0.76	0.74	0.75	0.73	0.70	0.85	0.58	0.37	0.79
KN811561.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811561.1:1:1036300:1 REF	256586	0.70	0.73	0.81	0.50	0.65	0.75	0.73	0.58	0.74	0.65	0.68	0.62	0.45	0.77
KN811561.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811561.1:1:1036300:1 REF	256594	0.64	0.88	0.65	0.90	0.83	1.00	0.87	0.71	0.82	0.68	0.79	0.62	0.45	0.74
KN811572.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811572.1:1:963299:1 REF	877944	0.25	0.27	0.50	0.38	0.55	0.23	0.47	0.50	0.31	0.39	0.57	0.66	0.18	0.15
KN811576.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811576.1:1:949204:1 REF	930867	0.86	0.88	0.91	0.89	0.90	0.80	0.84	0.40	0.89	0.88	0.88	0.84	0.90	0.95
KN811576.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811576.1:1:949204:1 REF	930872	0.94	0.29	0.93	0.91	0.92	0.95	0.95	0.58	0.94	0.93	0.91	0.84	0.90	0.97
KN811576.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811576.1:1:949204:1 REF	930874	0.68	0.90	0.72	0.89	0.84	0.87	0.78	0.86	0.54	0.81	0.88	0.71	0.90	0.92
KN811577.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811577.1:1:959325:1 REF	264558	0.74	0.89	0.75	0.85	0.76	0.67	0.83	0.73	0.69	0.74	0.73	0.50	0.47	0.87
KN811577.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811577.1:1:959325:1 REF	264573	0.66	0.73	0.46	0.50	0.71	0.66	0.61	0.59	0.67	0.65	0.55	0.33	0.79	0.55
KN811601.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811601.1:1:999059:1 REF	319643	0.68	0.90	0.78	0.50	0.75	0.90	0.80	0.67	0.90	0.93	0.88	0.68	0.69	0.52
KN811601.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811601.1:1:999059:1 REF	572391	0.83	0.73	0.97	0.60	0.98	1.00	0.97	0.80	0.85	0.41	0.88	0.92	1.00	0.97
KN811601.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811601.1:1:999059:1 REF	572396	0.89	0.83	0.74	0.80	0.93	1.00	0.97	0.78	0.90	0.98	0.85	0.86	0.92	1.00
KN811604.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811604.1:1:955140:1 REF	180175	0.31	0.84	0.59	0.27	0.74	0.64	0.68	0.69	0.73	0.57	0.77	0.84	0.45	0.80
KN811604.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811604.1:1:955140:1 REF	628716	0.76	0.83	0.44	0.66	0.95	0.96	0.90	0.74	0.88	0.92	0.90	0.84	1.00	0.86
KN811604.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811604.1:1:955140:1 REF	628724	0.96	0.70	0.88	0.36	0.56	0.93	0.82	0.90	0.88	0.81	0.83	0.82	0.89	1.00
